user_id,full_name,email,phone,created_at,country,gender,age,is_prime_member
2bdcb1f3-ee83-43c0-b2f7-7184722a0e15,Nora Martinez,nora.martinez92@shopmail.com,+65-377-741-1007,2025-01-15T13:40:37,Singapore,non-binary,32,true
52ee9ecf-5363-4678-8139-d6587d59b3f5,Aria Nelson,aria.nelson22@shopmail.com,+1-321-985-4466,2025-01-19T03:37:01,United States,male,21,false
260c9a73-bb42-43e4-8d4a-fc3d34febf0a,Liam Edwards,liam.edwards75@shopmail.com,+1-997-398-4102,2024-01-28T08:17:55,Canada,non-binary,43,false
9efa999f-b90d-40e7-9033-713f76349861,Grace Parker,grace.parker13@shopmail.com,+55-313-759-4245,2024-08-01T04:26:27,Brazil,female,56,true
35691beb-8af9-4549-9e67-b6bcd3775c65,Isabella Davis,isabella.davis80@shopmail.com,+61-288-800-8546,2024-10-11T16:07:17,Australia,non-binary,29,true
1953d227-6463-4501-abcf-b024302076f0,Ella Perez,ella.perez78@shopmail.com,+65-608-906-2185,2025-07-30T15:42:50,Singapore,non-binary,55,true
4b0ff5f4-324a-47bb-b48c-83d2baaf9d10,Elena Scott,elena.scott88@shopmail.com,+49-552-432-9912,2025-06-27T21:49:59,Germany,male,28,true
623b288e-a294-4612-b74c-37abf510f5f8,Daniel Wright,daniel.wright56@shopmail.com,+1-771-350-5516,2025-07-12T09:59:43,Canada,non-binary,58,true
136afc03-ca5e-41ee-9128-5d18ed2ff254,Ava Green,ava.green89@shopmail.com,+971-803-752-3519,2025-05-29T13:58:08,United Arab Emirates,male,50,true
3793ed0f-2c3d-4d12-be8c-1cc51d90ac96,James Stewart,james.stewart13@shopmail.com,+971-787-617-1543,2024-07-29T07:32:08,United Arab Emirates,female,31,true
d9aa166f-201b-4b51-8d26-e1b13f6e14e1,Penelope Perez,penelope.perez83@shopmail.com,+44-464-722-1186,2024-04-06T21:11:51,United Kingdom,male,30,true
8485093d-72dc-4185-9dda-a4cc89ed9a7e,Logan Morgan,logan.morgan40@shopmail.com,+61-465-898-3236,2025-10-05T11:38:45,Australia,non-binary,41,true
cb37caa1-1b66-4b6b-90a8-3606cdd281a8,Layla Allen,layla.allen87@shopmail.com,+65-388-279-9355,2024-06-05T08:45:29,Singapore,non-binary,44,true
94c09ce5-dd26-4961-91aa-5c2f3d5184a7,Riley Morgan,riley.morgan93@shopmail.com,+55-770-433-1163,2024-12-27T18:48:13,Brazil,male,41,false
